학수번호,강의시간,강의실
GEB1112-001,"수4,5,6,7",60주년-101
GEB1112-002,"수9,10,11,12",60주년-101
GEB1112-003,"목4,5,6,7",60주년-101
GEB1112-004,"목9,10,11,12",60주년-101
GEB1112-005,"월9,10,11,12",60주년-107
GEB1112-006,"월13,14,15,16",60주년-101
GEB1112-007,"수4,5,6,7",60주년-108
GEB1112-008,"목4,5,6,7",60주년-108
GEB1112-009,"월13,14,15,16",60주년-201
GEB1112-010,"수9,10,11,12",60주년-201
GEB1112-011,"수13,14,15,16",60주년-201
GEB1112-012,"수4,5,6,7",60주년-201
GEB1112-013,"수13,14,15,16",60주년-101
GEB1112-014,"목4,5,6,7",60주년-201
GEB1112-015,"목9,10,11,12",60주년-201
GEB1114-001,"월4,5,6,7",60주년-101
GEB1114-002,"월9,10,11,12",60주년-101
GEB1114-003,"월4,5,6,7",60주년-106
GEB1114-004,"월9,10,11,12",60주년-106
GEB1114-005,"월4,5,6,7",60주년-108
GEB1114-006,"월9,10,11,12",60주년-108
GEB1114-007,"월4,5,6,7",60주년-201
GEB1114-008,"월9,10,11,12",60주년-201
GEB1114-009,"월13,14,15,16",60주년-106
GEB1114-010,"수4,5,6,7",60주년-106
GEB1114-011,"화9,10,11,12",60주년-511
GEB1117-001,"셀0(웹강의) /목13,14,15",60주년-108
GEB1117-002,"셀0(웹강의) /목13,14,15",60주년-201
GEB1126-002,"셀0(웹강의) /월1,2,3,4",60주년-227
GEB1126-003,"셀0(웹강의) /월5,6,7,8",60주년-227
GEB1126-004,"셀0(웹강의) /월9,10,11,12",60주년-227
GEB1126-005,"셀0(웹강의) /월13,14,15,16",60주년-227
GEB1126-006,"셀0(웹강의) /월1,2,3,4",60주년-228
GEB1126-007,"셀0(웹강의) /월5,6,7,8",60주년-228
GEB1126-008,"셀0(웹강의) /월9,10,11,12",60주년-228
GEB1126-009,"셀0(웹강의) /월13,14,15,16",60주년-228
GEB1126-010,"셀0(웹강의) /월5,6,7,8",60주년-229
GEB1126-011,"셀0(웹강의) /월9,10,11,12",60주년-229
GEB1126-012,"셀0(웹강의) /월1,2,3,4",60주년-230
GEB1126-013,"셀0(웹강의) /월5,6,7,8",60주년-230
GEB1126-014,"셀0(웹강의) /월9,10,11,12",60주년-230
GEB1126-015,"셀0(웹강의) /월13,14,15,16",60주년-230
GEB1126-016,"셀0(웹강의) /화5,6,7,8",60주년-227
GEB1126-017,"셀0(웹강의) /화9,10,11,12",60주년-227
GEB1126-018,"셀0(웹강의) /화13,14,15,16",60주년-227
GEB1126-019,"셀0(웹강의) /화1,2,3,4",60주년-228
GEB1126-020,"셀0(웹강의) /화5,6,7,8",60주년-228
GEB1126-021,"셀0(웹강의) /화9,10,11,12",60주년-228
GEB1126-022,"셀0(웹강의) /화13,14,15,16",60주년-228
GEB1126-023,"셀0(웹강의) /화5,6,7,8",60주년-229
GEB1126-024,"셀0(웹강의) /화9,10,11,12",60주년-229
GEB1126-025,"셀0(웹강의) /화13,14,15,16",60주년-229
GEB1126-026,"셀0(웹강의) /화9,10,11,12",60주년-230
GEB1126-027,"셀0(웹강의) /화13,14,15,16",60주년-230
GEB1126-028,"셀0(웹강의) /화9,10,11,12",60주년-501
GEB1126-029,"셀0(웹강의) /화13,14,15,16",60주년-501
GEB1126-030,"셀0(웹강의) /화5,6,7,8",60주년-511
GEB1126-031,"셀0(웹강의) /화13,14,15,16",60주년-511
GEB1126-032,"셀0(웹강의) /화1,2,3,4",60주년-804
GEB1126-033,"셀0(웹강의) /화5,6,7,8",60주년-804
GEB1126-034,"셀0(웹강의) /화9,10,11,12",60주년-804
GEB1126-035,"셀0(웹강의) /화13,14,15,16",60주년-804
GEB1126-036,"셀0(웹강의) /수1,2,3,4",60주년-227
GEB1126-037,"셀0(웹강의) /수5,6,7,8",60주년-227
GEB1126-038,"셀0(웹강의) /수9,10,11,12",60주년-227
GEB1126-039,"셀0(웹강의) /수13,14,15,16",60주년-227
GEB1126-040,"셀0(웹강의) /수1,2,3,4",60주년-228
GEB1126-041,"셀0(웹강의) /수5,6,7,8",60주년-228
GEB1126-042,"셀0(웹강의) /수9,10,11,12",60주년-228
GEB1126-043,"셀0(웹강의) /수13,14,15,16",60주년-228
GEB1126-044,"셀0(웹강의) /수5,6,7,8",60주년-229
GEB1126-045,"셀0(웹강의) /수9,10,11,12",60주년-229
GEB1126-046,"셀0(웹강의) /수13,14,15,16",60주년-229
GEB1126-047,"셀0(웹강의) /수9,10,11,12",60주년-230
GEB1126-048,"셀0(웹강의) /수13,14,15,16",60주년-230
GEB1126-049,"셀0(웹강의) /수1,2,3,4",60주년-501
GEB1126-050,"셀0(웹강의) /수5,6,7,8",60주년-501
GEB1126-051,"셀0(웹강의) /수9,10,11,12",60주년-501
GEB1126-052,"셀0(웹강의) /수13,14,15,16",60주년-501
GEB1126-053,"셀0(웹강의) /수9,10,11,12",60주년-804
GEB1126-054,"셀0(웹강의) /목1,2,3,4",60주년-227
GEB1126-055,"셀0(웹강의) /목5,6,7,8",60주년-227
GEB1126-056,"셀0(웹강의) /목9,10,11,12",60주년-227
GEB1126-057,"셀0(웹강의) /목13,14,15,16",60주년-227
GEB1126-058,"셀0(웹강의) /목1,2,3,4",60주년-228
GEB1126-059,"셀0(웹강의) /목5,6,7,8",60주년-228
GEB1126-060,"셀0(웹강의) /목9,10,11,12",60주년-228
GEB1126-061,"셀0(웹강의) /목13,14,15,16",60주년-228
GEB1126-062,"셀0(웹강의) /목5,6,7,8",60주년-229
GEB1126-063,"셀0(웹강의) /목9,10,11,12",60주년-229
GEB1126-064,"셀0(웹강의) /목13,14,15,16",60주년-229
GEB1126-065,"셀0(웹강의) /목1,2,3,4",60주년-230
GEB1126-066,"셀0(웹강의) /목9,10,11,12",60주년-230
GEB1126-067,"셀0(웹강의) /목13,14,15,16",60주년-230
GEB1126-068,"셀0(웹강의) /목1,2,3,4",60주년-501
GEB1126-069,"셀0(웹강의) /목5,6,7,8",60주년-501
GEB1126-070,"셀0(웹강의) /목9,10,11,12",60주년-501
GEB1126-071,"셀0(웹강의) /목13,14,15,16",60주년-501
GEB1126-072,"셀0(웹강의) /목9,10,11,12",60주년-804
GEB1126-073,"셀0(웹강의) /목13,14,15,16",60주년-804
GEB1126-074,"셀0(웹강의) /금9,10,11,12",60주년-229
GEB1126-075,"셀0(웹강의) /금13,14,15,16",60주년-229
GEB1126-076,"셀0(웹강의) /금9,10,11,12",60주년-230
GEB1126-077,"셀0(웹강의) /금13,14,15,16",60주년-230
ACE9501-001,"월19,20",60주년-710
ACE9501-002,"월19,20",60주년-711
ACE9501-003,"수17,18",60주년-712
ACE9501-005,"화19,20",60주년-201
ACE9501-006,"화19,20",60주년-108
ACE9503-001,"월19,20",60주년-710
ACE9503-003,"수17,18",60주년-712
ACE9503-006,"화19,20",60주년-108
GEB1117-004,"셀0(웹강의) /월13,14,15",60주년-108
SBE3007-001,"월4,5,6,수4,5,6",60주년-708
CHE1903-002,"수10,11,12,13,14,15,16,17",60주년-808
CHE2104-002,"월16,17,18,수16,17,18",60주년-207
CHE2108-002,"화4,5,6,목4,5,6",60주년-707
CHE3201-002,"월10,11,12,수10,11,12",60주년-805
CHE3201-003,"화16,17,18,목16,17,18",60주년-207
CHE3207-002,"월16,17,18,수16,17,18",60주년-707
CHE3301-001,"월10,11,12,수10,11,12",60주년-707
CHE4308-002,"월16,17,18,수16,17,18",60주년-708
CHE4100-001,"화19,20,21,22,23,24",60주년-101
CHE4100-002,"화19,20,21,22,23,24",60주년-106
CHE4203-001,"월10,11,12,수10,11,12",60주년-709
CHE4303-001,"화10,11,12,목10,11,12",60주년-707
CHE4305-001,"월4,5,6,수4,5,6",60주년-707
CHE4309-001,"월16,17,18,수16,17,18",60주년-709
CHE4401-001,"화13,14,15,목13,14,15",60주년-707
GEB1117-007,"셀0(웹강의) /월16,17,18",60주년-108
CIV1020-001,"금1,2,3,4,5,6,7,8",60주년-809
CIV2020-001,"목4,5,6,7,8,9",60주년-808
CIV2030-001,"화13,14,15(2남227) /화16,17,18",60주년-809
GEB1117-010,"셀0(웹강의) /화1,2,3",60주년-101
GEB1117-011,"셀0(웹강의) /화1,2,3",60주년-106
GEB1117-012,"셀0(웹강의) /화1,2,3",60주년-108
FVE9001-002,"화19,20",60주년-201
FVE9001-006,"화19,20",60주년-108
FVE9002-002,"화19,20",60주년-201
FVE9002-006,"화19,20",60주년-108
FVE9003-006,"화19,20",60주년-108
EEC1102-004,"목10,11,12,13,14,15,16,17",60주년-808
EEC3612-001,"월1,2,3,수1,2,3",60주년-808
BSE3003-001,"화19,20,21,22,23,24,25,26",60주년-708
FVE2004-001,"금1,2,3,4,5,6,7,8",60주년-507
FVE2013-001,"화16,17,18,목16,17,18",60주년-507
FVE3011-001,"수1,2,3,4,5,6,7,8",60주년-507
FVE3016-001,"수13,14,15,16,17,18",60주년-507
FVE4001-001,"월13,14,15,16,17,18",60주년-507
FVE4009-001,"화10,11,12,목10,11,12",60주년-507
FVE4012-001,"화7,8,9,목7,8,9",60주년-507
FVE4014-001,"화10,11,12,13,14,15,16,17",60주년-611
FVE4028-001,"월19,20,21,22,23,24",60주년-507
SEC4002-001,"목1,2,3,4,5,6",60주년-510
GEB1107-001,"월1,2,3,수1,2,3",60주년-705
GEB1107-002,"월1,2,3,수1,2,3",60주년-506
GEB1107-003,"월4,5,6,수4,5,6",60주년-705
GEB1107-004,"월4,5,6,금4,5,6",60주년-502
GEB1107-005,"월4,5,6,수4,5,6",60주년-506
GEB1107-006,"월7,8,9,금7,8,9",60주년-705
GEB1107-007,"월7,8,9,수7,8,9",60주년-502
GEB1107-008,"월10,11,12,수10,11,12",60주년-502
GEB1107-009,"월13,14,15,금13,14,15",60주년-705
GEB1108-001,"월1,2,3,수1,2,3",60주년-601
GEB1108-002,"월1,2,3,수1,2,3",60주년-606
GEB1108-003,"월4,5,6,수4,5,6",60주년-601
GEB1108-004,"월4,5,6,수4,5,6",60주년-602
GEB1108-006,"월7,8,9,수7,8,9",60주년-602
GEB1108-007,"월7,8,9,수7,8,9",60주년-606
GEB1108-010,"월13,14,15,수13,14,15",60주년-601
GEB1108-011,"월13,14,15,수13,14,15",60주년-602
GEB1108-012,"월13,14,15,수13,14,15",60주년-702
GEB1108-014,"화1,2,3,목1,2,3",60주년-601
GEB1108-015,"화1,2,3,목1,2,3",60주년-606
GEB1109-002,"월4,5,6,수4,5,6",60주년-706
GEB1109-003,"월4,5,6,수4,5,6",60주년-701
GEB1109-004,"월7,8,9,수7,8,9",60주년-701
GEB1117-017,"셀0(웹강의) /목16,17,18",60주년-108
GEB1117-018,"셀0(웹강의) /목16,17,18",60주년-201
STS2001-002,"월4,5,6,수4,5,6",60주년-808
STS2022-001,"화1,2,3,목1,2,3",60주년-808
PHY4236-001,"화4,5,6(60주년-808) /목4,5,6,7,8,9",5동116A
OCN1901-001,"화10,11,12,목10,11,12",60주년-710
OCN1901-002,"화13,14,15,목13,14,15",60주년-710
OCN2101-001,"화1,2,3,4(5서355B) /금4,5,6,7",60주년-808
GEB1107-010,"월13,14,15,수13,14,15",60주년-506
GEB1107-011,"화1,2,3,목1,2,3",60주년-505
GEB1107-012,"화1,2,3,금1,2,3",60주년-502
GEB1107-013,"화1,2,3,목1,2,3",60주년-506
GEB1107-014,"화4,5,6,목4,5,6",60주년-705
GEB1107-015,"화4,5,6,목4,5,6",60주년-505
GEB1107-016,"화4,5,6,목4,5,6",60주년-506
GEB1107-017,"화7,8,9,목7,8,9",60주년-705
GEB1107-018,"화7,8,9,목7,8,9",60주년-506
GEB1107-023,"수1,2,3,금1,2,3",60주년-505
GEB1108-005,"월4,5,6,금4,5,6",60주년-702
GEB1108-008,"월7,8,9,금7,8,9",60주년-702
GEB1108-009,"월10,11,12,수10,11,12",60주년-601
GEB1108-016,"화4,5,6,목4,5,6",60주년-601
GEB1108-017,"화4,5,6,목4,5,6",60주년-602
GEB1108-019,"화4,5,6,목4,5,6",60주년-702
GEB1108-020,"화7,8,9,목7,8,9",60주년-602
GEB1108-021,"화7,8,9,목7,8,9",60주년-702
GEB1108-022,"화7,8,9,목7,8,9",60주년-502
GEB1108-023,"화10,11,12,목10,11,12",60주년-601
GEB1108-024,"화10,11,12,목10,11,12",60주년-606
GEB1108-025,"화10,11,12,목10,11,12",60주년-502
GEB1109-005,"월10,11,12,수10,11,12",60주년-706
GEB1109-006,"월13,14,15,수13,14,15",60주년-706
GEB1109-007,"화1,2,3,목1,2,3",60주년-706
GEB1109-010,"화4,5,6,목4,5,6",60주년-701
GEB1113-001,"화4,5,6,7",60주년-101
GEB1113-002,"화9,10,11,12",60주년-101
GEB1113-003,"화4,5,6,7",60주년-106
GEB1113-004,"화9,10,11,12",60주년-106
GEB1113-005,"목13,14,15,16",60주년-101
GEB1113-006,"목13,14,15,16",60주년-106
GEB1113-007,"목4,5,6,7",60주년-106
GEB1113-008,"수13,14,15,16",60주년-106
GEB1117-020,"셀0(웹강의) /화13,14,15",60주년-101
GEB1117-021,"셀0(웹강의) /화13,14,15",60주년-106
GEB1117-022,"셀0(웹강의) /화13,14,15",60주년-107
GEB1117-023,"셀0(웹강의) /화13,14,15",60주년-108
GEB1117-024,"셀0(웹강의) /화13,14,15",60주년-201
CBA1906-003,"수10,11,12,금10,11,12",60주년-510
GFB3103-001,"화1,2,3,4,5,6",60주년-711
GFB3401-001,"수4,5,6,금4,5,6",60주년-711
GFB4104-001,"월1,2,3,4,5,6",60주년-711
GFB4111-001,"수1,2,3,금1,2,3",60주년-711
EDC1101-002,"월9,10,11,12",60주년-804
EDC1104-001,"수9,10,11,12",60주년-710
EDC1104-002,"수4,5,6,7",60주년-712
EDC1105-002,"월4,5,6,7",60주년-710
EDC2103-001,"월9,10,11,12",60주년-609
EDC2103-002,"월13,14,15,16",60주년-610
EDC2107-001,"월10,11,12,13",60주년-711
EDC2107-002,"화4,5,6,7",60주년-509
EDC2107-003,"화10,11,12,13",60주년-508
EDC3102-001,"월13,14,15,16",60주년-508
EDC3102-003,"수13,14,15,16",60주년-711
EDC3106-002,"화13,14,15,16",60주년-712
EDC3311-001,"수13,14,15,16",60주년-712
EDC3311-002,"월9,10,11,12",60주년-710
EDC3311-003,"월13,14,15,16",60주년-710
EDC3311-004,"화4,5,6,7",60주년-510
