학수번호,강의시간,강의실
EKR1423-002,"수10,11,12,13,14,15",60주년-509
EEG3706-001,"월1,2,3,수1,2,3",60주년-502
PHE2163-001,"화1,2,3,4,5,6",60주년-611
PHE4165-001,"수1,2,3,4,5,6",60주년-510
EDC1160-001,"화4,5,6,목4,5,6",60주년-809
EDC1160-002,"화7,8,9,목7,8,9",60주년-809
GEB1107-019,"화10,11,12,목10,11,12",60주년-505
GEB1107-020,"화10,11,12,목10,11,12",60주년-506
GEB1107-021,"화13,14,15,목13,14,15",60주년-705
GEB1107-022,"화13,14,15,목13,14,15",60주년-505
GEB1107-024,"수4,5,6,금4,5,6",60주년-505
GEB1107-025,"수10,11,12,금10,11,12",60주년-505
GEB1107-026,"수13,14,15,금13,14,15",60주년-505
GEB1108-013,"월16,17,18,수16,17,18",60주년-702
GEB1108-018,"화4,5,6,금4,5,6",60주년-606
GEB1108-026,"화13,14,15,목13,14,15",60주년-706
GEB1108-027,"화13,14,15,목13,14,15",60주년-601
GEB1108-028,"화13,14,15,목13,14,15",60주년-602
GEB1108-029,"화13,14,15,금13,14,15",60주년-702
GEB1108-030,"화16,17,18,금16,17,18",60주년-702
GEB1108-031,"수10,11,12,금10,11,12",60주년-606
GEB1108-032,"수10,11,12,금10,11,12",60주년-705
GEB1109-011,"화10,11,12,목10,11,12",60주년-706
GEB1109-012,"화10,11,12,목10,11,12",60주년-701
GEB1109-013,"화13,14,15,목13,14,15",60주년-701
GEB1117-027,"셀0(웹강의) /수1,2,3",60주년-101
GEB1117-028,"셀0(웹강의) /수1,2,3",60주년-106
GEB1117-029,"셀0(웹강의) /수1,2,3",60주년-108
GEB1117-032,"셀0(웹강의) /화4,5,6",60주년-325
PMD1002-001,"화10,11,12,목10,11,12",60주년-325
PMD1008-001,"월10,11,12,화13,14,15",60주년-325
PMD1010-001,"목13,14,15,16",60주년-325
PMD1101-001,"금9,10,11,12,13,14,15,16",60주년-325
PMD1101-002,"금9,10,11,12,13,14,15,16",60주년-206
PMD1101-003,"금9,10,11,12,13,14,15,16",60주년-207
PMD1101-004,"금9,10,11,12,13,14,15,16",60주년-014
PMD1101-005,"금9,10,11,12,13,14,15,16",60주년-015
PMD2010-001,"월4,5,6,수4,5,6",60주년-206
PMD2010-002,"화4,5,6,목4,5,6",60주년-207
PMD2012-001,"월13,14,15,16,17,18,19,20,수13,14,15,16,17,18,19,20",60주년-419
PMD2012-002,"화13,14,15,16,17,18,19,20,목13,14,15,16,17,18,19,20",60주년-419
UMD1001-001,"월1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",60주년-327
UMD1002-001,"수1,2,3,4,5,6,목1,2,3,4,5,6",60주년-327
UMD1003-001,"금1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",60주년-327
UMD1022-001,"수10,11,12,13",60주년-418
UMD1024-001,"수10,11,12,13",60주년-327
UMD2002-001,"월13,14,15,16,17,18,수1,2,3,4,5,6",60주년-326
UMD2004-001,"목1,2,3,4,5,6,7,8",60주년-326
UMD2005-001,"화5,6,7,8,9,10,11,12",60주년-326
UMD2006-001,"목17,18,19,20,21,22,23,24",60주년-326
UMD2008-001,"목9,10,11,12",60주년-218
UMD2008-002,"목9,10,11,12",60주년-219
UMD2008-003,"월13,14,15,16",60주년-220
UMD2008-004,"목13,14,15,16",60주년-221
UMD2008-005,"목13,14,15,16",60주년-222
UMD2008-006,"목13,14,15,16",60주년-223
UMD2008-007,"목13,14,15,16",60주년-224
UMD2009-001,"수10,11,12,13",60주년-326
UMD2019-001,"월7,8,9,10",60주년-326
UMD2026-001,"수16,17,18,19",60주년-326
NUR2903-001,"월10,11,12,수10,11,12",60주년-207
GEB1107-027,"토1,2,3,4,5,6",60주년-706
GEB1107-028,"토1,2,3,4,5,6",60주년-702
GEB1107-029,"토9,10,11,12,13,14",60주년-706
SIM3303-001,"화21,22,23,24,25,26",60주년-808
MCT1901-001,"토9,10,11,12,13,14",60주년-101
MCT2103-001,"화21,22,23,24,25,26",60주년-809
MCT2103-002,"수21,22,23,24,25,26",60주년-809
BNF1901-001,"토15,16,17,18,19,20",60주년-712
BNF2303-001,"토1,2,3,4,5,6",60주년-808
BNF2303-002,"토9,10,11,12,13,14",60주년-808
BNF3302-001,"화24,25,26(M-306) /토18,19,20",60주년-710
BNF4303-001,"화21,22,23(M-306) /토15,16,17",60주년-808
BNF4202-001,"수21,22,23(60주년-511) /토21,22,23",M-301
BNF4304-001,"수24,25,26(60주년-808) /토24,25,26",M-301
SEG2003-002,"토15,16,17,18,19,20",60주년-809
GEB1109-001,"월1,2,3,수1,2,3",60주년-706
GEB1109-008,"화1,2,3,목1,2,3",60주년-701
GEB1117-040,"화16,17,18,19",60주년-107
IGS1902-001,"화10,11,12,금10,11,12",60주년-808
IGS1902-002,"화13,14,15,금13,14,15",60주년-808
IGS1931-001,"화10,11,12,목10,11,12",60주년-809
IGS1931-002,"월7,8,9,수7,8,9",60주년-808
IBT2102-001,"월1,2,3(60주년-809) /수1,2,3",9-203
IBT2110-001,"월4,5,6(60주년-809) /수4,5,6",9-203
ISE2232-001,"화13,14,15,금13,14,15",60주년-809
ISE2236-001,"월16,17,18,19,20,21",60주년-140
ISE3235-001,"월10,11,12,수10,11,12",60주년-809
GEB1117-013,"셀0(웹강의) /화16,17,18",60주년-101
GEB1117-014,"셀0(웹강의) /화16,17,18",60주년-106
GEB1117-015,"셀0(웹강의) /화16,17,18",60주년-108
GEB1117-016,"셀0(웹강의) /화16,17,18",60주년-201
CSE3111-001,"화19,20",60주년-140
CSE3112-001,"화19,20",60주년-140
CSE4205-001,"화22,23,24,25,26,27",60주년-140
AIE1001-001,"화10,11,12,13,목10,11,12,13",60주년-906
AIE1001-002,"화4,5,6,7,목4,5,6,7",60주년-906
AIE1001-003,"월1,2,3,4,수13,14,15,16",60주년-906
AIE2001-001,"목1,2,3,4,5,6(5서360) /금1,2,3,4",60주년-906
AIE2001-002,"목1,2,3,4,5,6(5서360) /금5,6,7,8",60주년-906
AIE2005-001,"화10,11,12,목10,11,12",60주년-907
DSC1003-001,"화4,5,6,목4,5,6",60주년-907
DSC2003-001,"월13,14,15,수13,14,15",60주년-907
DSC2008-001,"월10,11,12,수10,11,12",60주년-907
DSC2003-002,"화13,14,15,목13,14,15",60주년-907
DSC4001-001,"금1,2,3,4,5,6",60주년-907
CDN2220-001,"목1,2,3,4,5,6",60주년-904
CDN2220-002,"목10,11,12,13,14,15",60주년-904
DET1002-001,"수10,11,12,13,14,15",60주년-904
DET1002-002,"수16,17,18,19,20,21",60주년-904
DET1015-001,"월13,14,15,16,17,18",60주년-908
DET1015-002,"금13,14,15,16,17,18",60주년-908
DET2001-001,"목1,2,3,4,5,6",60주년-908
DET2001-002,"목10,11,12,13,14,15",60주년-908
DET2001-003,"목16,17,18,19,20,21",60주년-908
DET3002-001,"수10,11,12,13,14,15",60주년-908
DET3012-001,"화10,11,12,13,14,15",60주년-908
DET3012-002,"화16,17,18,19,20,21",60주년-908
DET3020-001,"화1,2,3,4,5,6",60주년-908
DET4010-001,"금10,11,12,13,14,15",60주년-904
DET4010-002,"금1,2,3,4,5,6",60주년-908
ICT2005-001,"수19,20,21,22,23,24,25,26",60주년-908
ICT3001-001,"화19,20,21,22,23,24",60주년-907
ICT4005-001,"월19,20,21,22,23,24",60주년-907
GEB1117-030,"셀0(웹강의) /수16,17,18",60주년-108
FAT1701-001,"화1,2,3,4,5,6",60주년-712
IPS1513-001,"월1,2,3,4,5,6",60주년-611
ACE2901-027,"화10,11,12,목10,11,12",60주년-509
BTE1201-001,"목19,20,21,22,23,24",60주년-207
ABC9026-001,"금7,8,9,10",60주년-509
BIO3109-001,"화1,2,3,목1,2,3",60주년-809
CVS2030-001,"화13,14,15(2남227) /화16,17,18",60주년-809
CVA2022-001,"화1,2,3,목1,2,3",60주년-808
GEB1117-033,"셀0(웹강의) /목1,2,3",60주년-101
GEB1117-034,"셀0(웹강의) /목1,2,3",60주년-106
GEB1117-035,"셀0(웹강의) /목1,2,3",60주년-108
GEB1118-001,"수9,10,11,12",60주년-106
GEB1118-002,"목9,10,11,12",60주년-106
GEB1118-003,"수9,10,11,12",60주년-108
GEB1118-004,"목9,10,11,12",60주년-108
LCS1901-001,"금1,2,3,4,5,6",60주년-108
LCS1901-002,"금7,8,9,10,11,12",60주년-108
LCS1901-003,"금13,14,15,16,17,18",60주년-108
GEB1117-036,"셀0(웹강의) /월1,2,3",60주년-101
GEB1117-037,"셀0(웹강의) /월1,2,3",60주년-106
GEB1117-038,"셀0(웹강의) /월1,2,3",60주년-108
GEB1119-001,"화4,5,6,7",60주년-108
GEB1119-002,"화9,10,11,12",60주년-108
GEB1119-003,"화4,5,6,7",60주년-201
GEB1119-004,"화9,10,11,12",60주년-201
ECS1901-001,"셀0(웹강의) /수17,18,19,20",60주년-809
ECS1901-002,"셀0(웹강의) /목17,18,19,20",60주년-809
LCS1901-004,"금13,14,15,16,17,18",60주년-106
LCS1901-006,"목1,2,3,4,5,6",60주년-611
LCS1901-007,"수1,2,3,4,5,6",60주년-509
LCS1901-008,"수1,2,3,4,5,6",60주년-710
GEB1109-009,"화4,5,6,목4,5,6",60주년-706
GEE3027-001,"월1,2,3,수1,2,3",60주년-701
GEE3027-002,"월7,8,9,수7,8,9",60주년-506
GEE3027-003,"월10,11,12,수10,11,12",60주년-506
GEE3028-001,"화1,2,3,목1,2,3",60주년-608
GEE3028-002,"화4,5,6,목4,5,6",60주년-608
GED1003-001,"화1,2,3,4,5,6",60주년-140
GED1003-002,"월10,11,12,수10,11,12",60주년-508
GED1004-001,"화10,11,12,목10,11,12",60주년-609
GED1007-003,"화4,5,6,목4,5,6",60주년-502
GED1007-004,"월4,5,6,수4,5,6",60주년-610
GED1012-001,"월1,2,3,4,5,6",60주년-508
GED1015-001,"화1,2,3,4,5,6",60주년-607
GED1017-001,"화16,17,18,목16,17,18",60주년-508
GED2011-001,"화10,11,12,목10,11,12",60주년-605
GED2013-001,"월4,5,6,수4,5,6",60주년-605
GED2018-001,"월7,8,9,수7,8,9",60주년-509
GED2018-002,"월10,11,12,수10,11,12",60주년-611
GED3020-001,"월4,5,6,수4,5,6",60주년-609
GED3022-001,"화16,17,18,목16,17,18",60주년-609
GED4002-001,"월10,11,12,수10,11,12",60주년-610
GED4008-001,"수13,14,15,16,17,18",60주년-610
GED4011-001,"화10,11,12,목10,11,12",60주년-712
GED4011-002,"화13,14,15,목13,14,15",60주년-711
GED1002-001,"수1,2,3,4,5,6",60주년-612
GED1002-002,"수13,14,15,16,17,18",60주년-612
GED1002-003,"금10,11,12,13,14,15",60주년-612
GED1002-004,"목1,2,3,4,5,6",60주년-710
GED1002-005,"금1,2,3,4,5,6",60주년-710
GED1002-006,"금13,14,15,16,17,18",60주년-710
GED1002-007,"수4,5,6,7,8,9",60주년-611
GED1002-008,"수13,14,15,16,17,18",60주년-611
GED1002-009,"월1,2,3,4,5,6",60주년-510
GED1002-010,"월13,14,15,16,17,18",60주년-509
GED1002-011,"금1,2,3,4,5,6",60주년-612
GEF1103-002,"화1,2,3,4,5,6",60주년-609
GEF1104-002,"월4,5,6,수4,5,6",60주년-511
GEF1105-002,"월10,11,12,수10,11,12",60주년-608
GEF1105-003,"수13,14,15,16,17,18",60주년-607
GEF1105-004,"금1,2,3,4,5,6",60주년-607
GEF1106-001,"금10,11,12,13,14,15",60주년-607
GEF1106-002,"월10,11,12,수10,11,12",60주년-607
GEF1106-003,"월4,5,6,수4,5,6",60주년-608
GEF1106-004,"월7,8,9,수7,8,9",60주년-608
GEF1106-005,"화1,2,3,목1,2,3",60주년-511
GEF1103-001,"화4,5,6,목4,5,6",60주년-610
GEF1104-001,"월7,8,9,수7,8,9",60주년-511
GEF1105-001,"월10,11,12,수10,11,12",60주년-511
GEE2035-001,"화7,8,9,목7,8,9",60주년-612
GEE3001-001,"월1,2,3,수1,2,3",60주년-805
GEE3001-002,"월4,5,6,수4,5,6",60주년-805
GEE3003-001,"월7,8,9,수7,8,9",60주년-607
GEE3003-002,"수10,11,12,금10,11,12",60주년-609
GEE3003-004,"수16,17,18,금16,17,18",60주년-609
GEE3003-005,"화4,5,6,목4,5,6",60주년-508
GEE3003-006,"화7,8,9,목7,8,9",60주년-508
GEE3004-001,"화1,2,3,목1,2,3",60주년-508
GEE3004-002,"수13,14,15,16,17,18",60주년-508
GEE3004-003,"금1,2,3,4,5,6",60주년-508
GEE3004-004,"수1,2,3,4,5,6",60주년-508
GEE3013-001,"화7,8,9,목7,8,9",60주년-805
GEE3013-002,"화10,11,12,목10,11,12",60주년-805
GEE3025-001,"수13,14,15,16,17,18",60주년-511
GEE3033-001,"목1,2,3,4,5,6",60주년-609
GEE4003-001,"금13,14,15,16,17,18",60주년-101
GEE4005-001,"화1,2,3,4,5,6",60주년-710
GEE4006-001,"수13,14,15,16,17,18",60주년-710
GEE4019-001,"월13,14,15,16,17,18",60주년-609
GEE4021-001,"월4,5,6,7,8,9",60주년-712
GEE4025-001,"금5,6,7,8",60주년-712
GEE4035-001,"금1,2,3,4",60주년-712
GEE4036-001,"월10,11,12,13,14,15",60주년-712
GEE4037-001,"수9,10,11,12",60주년-711
GEE4038-001,"화9,10,11,12",60주년-510
GEE5014-001,"화13,14,15,16",60주년-607
GEE3019-001,"수1,2,3,4,5,6",60주년-607
GEE5016-001,"화10,11,12,목10,11,12",60주년-612
AAO3037-001,"금1,2,3,4,5,6",60주년-509
AAO3038-001,"월13,14,15,16,17,18",60주년-611
ACE9505-002,"월19,20",60주년-711
PMD1101-008,"금9,10,11,12,13,14,15,16",60주년-307
SBE4203-001,"목1,2,3,4,5,6",60주년-712
UMD2003-001,"화13,14,15,목13,14,15",60주년-326
